[INFO ] [2023-02-24 14:05:15,589] Step 3: Click Checkout button
[INFO ] [2023-02-24 14:05:15,705] Is checkout step 1 displayed
[INFO ] [2023-02-24 14:05:15,757]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:05:15,757] Step 4: Input check out information
[INFO ] [2023-02-24 14:05:16,201] Step 5: Click Continue button
[INFO ] [2023-02-24 14:05:16,310] Is checkout step 2 displayed
[INFO ] [2023-02-24 14:05:16,361]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:05:16,361] Step 6: Click Finish button
[INFO ] [2023-02-24 14:05:16,471] Is checkout Complete page displayed
[INFO ] [2023-02-24 14:05:16,535]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:05:16,536] Close
[INFO ] [2023-02-24 14:06:08,604] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:06:11,368] Send key to User Name field
[INFO ] [2023-02-24 14:06:11,608] Send key to Password field
[INFO ] [2023-02-24 14:06:11,746] Click to Login button
[INFO ] [2023-02-24 14:06:11,854] Verify login success through home page title
[INFO ] [2023-02-24 14:06:11,890]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:06:11,892] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:06:13,616] Login to System
[INFO ] [2023-02-24 14:06:14,141] Select sort from drop down with Name (A to Z)
[INFO ] [2023-02-24 14:06:34,490] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:06:36,168] Login to System
[INFO ] [2023-02-24 14:06:36,652] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 14:06:56,982] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:06:58,950] Login to System
[INFO ] [2023-02-24 14:06:59,393] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 14:07:19,703] Close
[INFO ] [2023-02-24 14:12:23,987] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:12:26,579] Send key to User Name field
[INFO ] [2023-02-24 14:12:26,791] Send key to Password field
[INFO ] [2023-02-24 14:12:26,959] Click to Login button
[INFO ] [2023-02-24 14:12:27,049] Verify login success through home page title
[INFO ] [2023-02-24 14:12:27,078]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:12:27,081] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:12:28,770] Login to System
[INFO ] [2023-02-24 14:12:29,340] Select sort from drop down with Name (A to Z)
[INFO ] [2023-02-24 14:12:35,259] Close
[INFO ] [2023-02-24 14:14:17,005] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:14:20,102] Send key to User Name field
[INFO ] [2023-02-24 14:14:20,306] Send key to Password field
[INFO ] [2023-02-24 14:14:20,446] Click to Login button
[INFO ] [2023-02-24 14:14:20,566] Verify login success through home page title
[INFO ] [2023-02-24 14:14:20,598]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:14:20,600] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:14:22,334] Login to System
[INFO ] [2023-02-24 14:14:22,895] Select sort from drop down with Name (A to Z)
[INFO ] [2023-02-24 14:14:43,276] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:14:45,305] Login to System
[INFO ] [2023-02-24 14:14:45,889] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 14:18:10,697] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:18:13,446] Login to System
[INFO ] [2023-02-24 14:18:14,089] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:18:15,835] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:18:17,571] Login to System
[INFO ] [2023-02-24 14:18:18,163] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:18:19,932] Login to System
[INFO ] [2023-02-24 14:18:20,517] Send key to User Name field
[INFO ] [2023-02-24 14:18:20,727] Send key to Password field
[INFO ] [2023-02-24 14:18:20,924] Click to Login button
[INFO ] [2023-02-24 14:18:21,055] Verify login success through home page title
[INFO ] [2023-02-24 14:18:21,095]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:18:21,097] Select sort from drop down with Name (A to Z)
[INFO ] [2023-02-24 14:18:21,296]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:18:21,296] Select sort from drop down with Name (Z to A)
[INFO ] [2023-02-24 14:18:21,491]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:18:21,492] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 14:18:21,596] Is quantity increase to 1
[INFO ] [2023-02-24 14:18:21,668]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:18:21,668] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 14:18:21,749]  Step 2: Click to Cart button
[INFO ] [2023-02-24 14:18:21,834] Is Your Card page displayed
